Title,number of examinations,Subtitle,Questions
36_1,36,1,"核上性眼球運動に関与しないのはどれか．
ａCajal 間質核　　　　　　　 
ｂ舌下神経前位核　　
ｃ Edinger­Westphal 核
ｄ PPRF（傍正中橋網様体） 
ｅ riMLF（内側縦束吻側間質核）"
36_2,36,2,"硝子体の加齢変化の関与が少ないのはどれか．
ａ　生理的飛蚊症　　　　
ｂ　近視性網膜分離　　
ｃ　特発性黄斑円孔
ｄ　裂孔原性網膜剝離　　
ｅ　視神経乳頭周囲ぶどう腫"
36_3,36,3,"視神経で正しいのはどれか．
ａ　篩状板後方で有髄神経になる．　　　　　
ｂ　篩状板の周辺部はくも膜に接着する．
ｃ　耳鼻側の篩状板孔は上下側より大きい． 
ｄ　篩状板部は網膜中心動脈により栄養される．
ｅ　篩状板は数百層の結合組織のシートから構成される．"
36_4,36,4,"房水の産生と排出で正しいのはどれか．2 つ選べ．
ａ　房水は毛様体色素上皮から産生される．　　　
ｂ　房水産生には概日リズムが影響している．
ｃ　上強膜静脈圧が高いと房水流出は減少する． 
ｄ　房水はぶどう膜強膜流出路から主に排出される．
ｅ　交感神経β受容体刺激によって房水産生が抑制される．"
36_5,36,5,"アトロピン硫酸塩水和物点眼薬で正しいのはどれか．
ａ　瞳孔括約筋を収縮させる．　　　　　　
ｂ　交感神経ブロック作用を持つ．
ｃ　副作用として血圧低下がみられる．　　
ｄ　瞳孔散大効果は 3 日以内に消失する．
ｅ　調節麻痺は散瞳にやや遅れて発現する．"
36_6,36,6,"神経外胚葉由来の眼組織はどれか．2 つ選べ．
ａ　水晶体　　
ｂ　脈絡膜　　
ｃ　毛様体筋　　
ｄ　感覚網膜　　
ｅ　網膜色素上皮"
36_7,36,7,"網膜色素上皮細胞の機能障害を反映する検査所見はどれか．
ａ    EOG：Arden 比低下　　　　　　 
ｂ　フラッシュ ERG：OP 波消失　　
ｃ　限界フリッカ値（CFF）：低下
ｄ　パターン VEP：P100 潜時延長　　
ｅ　暗順応検査：Kohlrausch 屈曲点検出"
36_8,36,8,"脈絡膜を構成する組織を網膜側から強膜側へ正しく並べたのはどれか．
ａ Bruch 膜―脈絡毛細血管板―上脈絡膜―血管層　　
ｂ Bruch 膜―上脈絡膜―血管層―脈絡毛細血管板
ｃ Bruch 膜―脈絡毛細血管板―血管層―上脈絡膜　　
ｄ Bruch 膜―上脈絡膜―脈絡毛細血管板―血管層
ｅ Bruch 膜―血管層―脈絡毛細血管板―上脈絡膜"
36_9,36,9,"眼圧と眼圧検査で正しいのはどれか．2 つ選べ．
ａ　眼圧の単位は mmHg である．　　　　　　　　 　
ｂ　仰臥位では座位よりも眼圧は高値となる．
ｃ　健常者では 1 日を通してほぼ一定の値である．　　
ｄ　角膜厚が薄いほど眼圧測定値は高値になりやすい．
ｅ　非接触型眼圧計は 1 回の測定で正確な眼圧値が得られる．"
36_10,36,10,"5 m 離れて視力検査した場合，視力 1.0 に相当する Landolt 環の切れ目の幅（mm）はどれか．
ａ 1.0　　
ｂ 1.5　　
ｃ 2.0　　
ｄ 3.0　　
ｅ 7.5"
36_11,36,11,"眼底画像検査で正しいのはどれか．2 つ選べ．
ａ OCT の解像度は最高で 100μm である．
ｂ OCTA では層別血流評価が可能である．
ｃ　眼底自発蛍光撮影では網膜色素上皮細胞死は過蛍光となる．
ｄ　インドシアニングリーン蛍光眼底造影には短波長光を用いる．
ｅ　フルオレセイン蛍光眼底造影では血液網膜関門の評価が可能である．"
36_12,36,12,"外眼筋の中で対側の神経核から交差支配を受ける筋はどれか．2 つ選べ．
ａ　上直筋　　
ｂ　外直筋　　
ｃ　内直筋　　
ｄ　下直筋　　
ｅ　上斜筋"
36_13,36,13,"「人を対象とする生命科学・医学系研究に関する倫理指針」で求められている倫理審査委員会の構成要件で誤っているのはどれか．
ａ 5 名以上であること．　　　　　　　　　　 
ｂ　男女両性で構成されていること．
ｃ　委員長は自然科学の有識者であること．　　
ｄ　人文・社会科学の有識者が含まれていること．
ｅ　一般の立場から意見を述べることのできる者が含まれていること．"
36_14,36,14,"入院診療計画書作成に関与する必要があるのはどれか．3 つ選べ．
ａ　医師　　
ｂ　看護師　　
ｃ　管理者　　
ｄ　管理栄養士　　
ｅ　ケースワーカー"
36_15,36,15,"身体障害者診断書・意見書で正しいのはどれか．
ａ　視力 0.15 は 0.1 として計算する．
ｂ　視野障害は単独で 1 級認定となり得る．
ｃ　視力障害は左右各眼の矯正視力の和で評価する．
ｄ　視力障害と視野障害の両方に該当する場合は高い方の等級が適用される．
ｅ 一眼の視力が 0.02 のとき他眼の視力が 0.7 以下であれば，身体障害者手帳の交付が可能である．"
36_16,36,16,"角膜ドナーの適応にならないのはどれか．
ａ　白血病　　
ｂ Parkinson 病　　
ｃ Alzheimer 病　　
ｄ　多発性硬化症　　
ｅ 95 歳の白内障手術後"
36_17,36,17,"特定健診・特定保健指導の必須項目はどれか．3 つ選べ．
ａ　血糖検査　　
ｂ　眼底検査　　
ｃ　心電図検査　　
ｄ　肝機能検査　　
ｅ　腹囲の測定"
36_18,36,18,"電離放射線障害防止規則第 56 条に規定する健康診断の項目に基づき実施すべきなのはどれか．
ａ　眼圧に関する検査　　　　　
ｂ　白内障に関する検査　　
ｃ　網膜疾患に関する検査
ｄ　視神経疾患に関する検査　　
ｅ　視力・色覚に関する検査"
36_19,36,19,"優れたスクリーニング検査の条件はどれか．2 つ選べ．
ａ　高い感度　　
ｂ　高い特異度　　
ｃ　高い偽陽性率　　
ｄ　高い偽陰性率　　
ｅ　高い陽性的中率"
36_20,36,20,"特定臨床研究法に該当する研究はどれか．2 つ選べ．
ａ　ヒトゲノムを含む臨床研究
ｂ　未承認の薬剤の有効性を調査した臨床研究
ｃ　製薬企業等から資金提供を受けて行った臨床研究
ｄ　承認済み薬剤の有効性を比較検討した二重盲検試験
ｅ　地域住民の疾患の有病率を調査した疫学研究（population—based study）"
36_21,36,21,"矯正視力が右 1.2，左 0.08 の時，普通自動車第一種運転免許に必要な右眼視野の要件はどれか．
ａ　左右 120°以上　　
ｂ　左右 135°以上　　
ｃ　左右 150°以上　　
ｄ　左右 165°以上　　
ｅ　左右 180°以上"
36_22,36,22,"涙腺と涙液で正しいのはどれか．
ａ　副涙腺は Zeis 腺と Moll 腺である．　　　 　
ｂ　主涙腺は眼窩の上鼻側に位置する．
ｃ　主涙腺の眼瞼葉は眼窩葉よりも大きい．　　
ｄ　角膜上の涙液の水層は油層よりも表層側にある．
ｅ　涙液は三叉神経第 1 枝の刺激によって分泌される．"
36_23,36,23,"涙道疾患で正しいのはどれか．
ａ　薬剤性涙道閉塞は鼻涙管閉塞が多い．　　　　　
ｂ　先天涙道閉塞では総涙小管閉塞が多い．
ｃ　涙小管炎では涙道内視鏡検査は禁忌である．　　
ｄ　慢性涙囊炎は涙囊鼻腔吻合術の良い適応である．
ｅ　急性涙囊炎では直ちに涙管チューブ挿入術を施行する．"
36_24,36,24,"新生児において多量の膿性眼脂を来す結膜炎の病因微生物はどれか．2 つ選べ．
ａ　淋菌　　
ｂ　肺炎球菌　　
ｃ　クラミジア　　
ｄ　アデノウイルス　　
ｅ　単純ヘルペスウイルス"
36_25,36,25,"副腎皮質ステロイドの投与経路で眼圧上昇の影響が最も少ないのはどれか．
ａ　点眼　　
ｂ　点鼻　　
ｃ　内服　　
ｄ　テノン囊下注射　　
ｅ　眼瞼への軟膏塗布"
36_26,36,26,"アトピー角結膜炎で誤っているのはどれか．
ａ　角膜知覚の低下を認める．　　　　　　
ｂ　慢性期には角膜新生血管を認める．
ｃ　両眼性の角膜ヘルペスを合併する．　　
ｄ　急性・増悪期には巨大乳頭を呈する．
ｅ　慢性期には結膜上皮の扁平上皮化生・杯細胞の減少を認める．"
36_27,36,27,"両眼に渦状の角膜混濁がある症例に関連するのはどれか．2 つ選べ．
ａ　喫煙歴　　
ｂ　家族歴　　
ｃ　使用薬剤　　
ｄ　海外渡航歴　　
ｅ　膠原病の既往"
36_28,36,28,"強膜炎で誤っているのはどれか．
ａ　充血部位の圧痛がある．　　　　　　　　　　　　
ｂ　充血が目立たないタイプがある．
ｃ　内服薬により強膜炎が誘発されることがある．　　
ｄ　感染性疾患は強膜炎の原因として除外できる．
ｅ　全身性エリテマトーデスは強膜炎のリスク因子である．"
36_29,36,29,"角膜血管新生の原因とならないのはどれか．
ａ　無虹彩症　　
ｂ　角膜ヘルペス　　
ｃ　流行性角結膜炎　　
ｄ　角膜フリクテン　　
ｅ　角膜手術の縫合糸"
36_30,36,30,"角膜神経で正しいのはどれか．
ａ Aβ線維からなる．　　　　　　　　 
ｂ　主に顔面神経支配を受ける．
ｃ　角膜上皮下に神経叢を形成する．　　
ｄ　一度障害を受けると再生しない．
ｅ　神経密度は皮膚と同程度である．"
36_31,36,31,"糖尿病で生じる水晶体の変化で正しいのはどれか．2 つ選べ．
ａ　ソルビトールが減少する．　　　　　
ｂ　酸化ストレスが上昇する．
ｃ　水溶性蛋白質の含量が増加する．　　
ｄ　前囊下白内障の発症が特徴的である．
ｅ　急激な血糖上昇は水晶体厚が変化する．"
36_32,36,32,"水晶体偏位を合併する全身疾患はどれか．3 つ選べ．
ａ Alport 症候群　　　 
ｂ Marfan 症候群　　
ｃ Werner 症候群
ｄ ホモシスチン尿症　　
ｅ Weill­Marchesani 症候群"
36_33,36,33,"網膜血管炎を生じにくいのはどれか．
ａ    Behçet 病　　　　　 
ｂ　急性網膜壊死　　
ｃ　サルコイドーシス
ｄ    Vogt­-小柳­-原田病　　
ｅ　サイトメガロウイルス網膜炎"
36_34,36,34,"網膜色素上皮下の黄白色病変を伴うのはどれか．2 つ選べ．
ａ　軟性白斑　　　　　　
ｂ　急性網膜壊死　　
ｃ　軟性ドルーゼン
ｄ　眼内悪性リンパ腫　　
ｅ　卵黄様黄斑ジストロフィ"
36_35,36,35,"網膜ひだ形成の原因とならないのはどれか．
ａ　未熟児網膜症　　　　　　　 
ｂ　眼トキソカラ症　　
ｃ　硝子体血管系遺残（PFV）
ｄ　先天黒内障（Leber 先天盲）　　
ｅ　家族性滲出性硝子体網膜症（FEVR）"
36_36,36,36,"点状脈絡膜内層症（PIC）で正しいのはどれか．
ａ　男性に多い．　　　　　　　　 
ｂ　黄白色斑がみられる．　　
ｃ　視野異常は起こらない．
ｄ    50 歳以上で起こりやすい．　　
ｅ　前房に炎症細胞がみられる．"
36_37,36,37,"血管腫を来すのはどれか．2 つ選べ．
ａ Louis­Bar 症候群　　　 
ｂ von Hippel­Lindau 病　　
ｃ Sturge­Weber 症候群
ｄ von Recklinghausen 病　　
ｅ Bourneville­Pringle 病"
36_38,36,38,"糖尿病黄斑浮腫の治療薬はどれか．3 つ選べ．
ａ faricimab　　
ｂ infliximab　　
ｃ adalimumab　　
ｄ ranibizumab　　
ｅ brolucizumab"
36_39,36,39,"高安動脈炎で頻度の高いのはどれか．2 つ選べ．
ａ　角膜潰瘍　　
ｂ　網膜裂孔　　
ｃ　眼球突出　　
ｄ　花環状吻合　　
ｅ　毛細血管瘤"
36_40,36,40,"未熟児網膜症に対する抗VEGF薬硝子体内注射を行う場合，輪部から針の刺入部までの適切な距離（mm）はどれか．
ａ 0～0.5　　
ｂ 1.0～1.5　　
ｃ 2.0～2.5　　
ｄ 3.0～3.5　　
ｅ 4.0～4.5"
36_41,36,41,"未熟児網膜症に対する抗 VEGF 薬硝子体内注射を 3 週前に行い，病勢の沈静化が得られたが，再燃しているのが確認された． 適切な対応はどれか．
ａ　経過観察　　　
ｂ　網膜光凝固　　
ｃ　硝子体手術
ｄ　強膜内陥術　　
ｅ　抗 VEGF 薬硝子体内注射（再投与）"
36_42,36,42,"網膜色素変性に合併した白内障に対する手術後に比較的高頻度に認められる合併症はどれか．2 つ選べ．
ａ　前囊収縮　　　　　　　
ｂ　囊胞様黄斑浮腫　　
ｃ　裂孔原性網膜剝離
ｄ　網膜中心静脈閉塞症　　
ｅ　中心性漿液性脈絡網膜症"
36_43,36,43,"黄斑前膜の自覚症状で多くみられるのはどれか．2 つ選べ．
ａ　物が歪んで見える．　　
ｂ　物が小さく見える．　　
ｃ　物が大きく見える．
ｄ　物が二重に見える．　　
ｅ　物が中心に引き込まれるように見える．"
